iter	RMSE
0	0.978493124
1	0.9574720832
2	0.9373823248
3	0.9175834352
4	0.8981885895
5	0.8794363717
6	0.8610723374
7	0.8431650507
8	0.8255546262
9	0.8087749295
10	0.7919099255
11	0.7758810762
12	0.7603947308
13	0.7459454933
14	0.7308605868
15	0.716254907
16	0.7025428493
17	0.6885282043
18	0.6755985746
19	0.6625259795
20	0.650168469
21	0.6376705431
22	0.6253223943
23	0.6134847177
24	0.6016530406
25	0.5911287062
26	0.5806210481
27	0.5703999303
28	0.5609253085
29	0.5505586564
30	0.5409408661
31	0.531764443
32	0.522105734
33	0.5130689907
34	0.5038249848
35	0.4953153586
36	0.4870198791
37	0.4788558198
38	0.4710418516
39	0.4631901197
40	0.4557500391
41	0.4485347199
42	0.4419900589
43	0.4350076168
44	0.428025442
45	0.4214408402
46	0.4150451718
47	0.4090225115
48	0.4028784954
49	0.3964482413
50	0.3907409304
51	0.3851661066
52	0.3793839853
53	0.3740247296
54	0.3686506757
55	0.3633315749
56	0.3585377802
57	0.3534467736
58	0.3485393791
59	0.3438348377
60	0.3391547599
61	0.3349789849
62	0.3307641115
63	0.3267361906
64	0.3229083914
65	0.319087786
66	0.3155383256
67	0.311665472
68	0.3081542253
69	0.3051097786
70	0.3019064919
71	0.2986753955
72	0.2956373344
73	0.2923447395
74	0.2896291955
75	0.286536768
76	0.2838962772
77	0.280971357
78	0.2786699681
79	0.2760706108
80	0.273492842
81	0.2712732212
82	0.2686759108
83	0.2663264225
84	0.2641998912
85	0.2622148049
86	0.2600947548
87	0.2578361044
88	0.2557544311
89	0.2537597798
90	0.2520193075
91	0.2501741578
92	0.2480472679
93	0.2464219678
94	0.2445057627
95	0.2430587092
96	0.2415969172
97	0.2401960016
98	0.2388293476
99	0.2372539785
100	0.2360543539
101	0.234801549
102	0.233336442
103	0.2322509829
104	0.2311184447
105	0.2297755072
106	0.2283082658
107	0.2271451151
108	0.226077835
109	0.2250850214
110	0.2238979272
111	0.2229063736
112	0.2218028291
113	0.2208357309
114	0.2199717171
115	0.2190760403
116	0.2179316126
117	0.2169317133
118	0.2159861107
119	0.2151167435
120	0.2142704817
121	0.2135096365
122	0.2127551371
123	0.2120069392
124	0.2112274698
125	0.2101386281
126	0.2094950784
127	0.2088148535
128	0.208176977
129	0.2072134377
130	0.2064109319
131	0.2058876913
132	0.2048760693
133	0.2042367171
134	0.2032345057
135	0.2026692226
136	0.2019672912
137	0.2014130085
138	0.2008452448
139	0.2000628738
140	0.199215522
141	0.1983648269
142	0.1976941174
143	0.1968902361
144	0.1961095677
145	0.1955836871
146	0.1951609186
147	0.1946183276
148	0.1941061733
149	0.193634188
150	0.1930562012
151	0.192493259
152	0.191799554
153	0.1913307133
154	0.1908988802
155	0.1904060478
156	0.1900248431
157	0.1896118291
158	0.1891162743
159	0.18880137
160	0.1884279025
161	0.1879892682
162	0.187583571
163	0.1870977157
164	0.1866526555
165	0.1861750489
166	0.1857767484
167	0.1853862231
168	0.1849844545
169	0.1844742834
170	0.1841350288
171	0.1836333813
172	0.183324264
173	0.1829598096
174	0.1826604657
175	0.182315927
176	0.1819610971
177	0.1816923541
178	0.1813271656
179	0.1809907716
180	0.1806085994
181	0.1802915573
182	0.1798710361
183	0.1796659832
184	0.1792995199
185	0.179042435
186	0.1787626768
187	0.1785547355
188	0.178273759
189	0.1780699579
190	0.1777534172
191	0.1774472116
192	0.1772563821
193	0.1770514139
194	0.1768369798
195	0.1765629803
196	0.1760946643
197	0.1758391597
198	0.1754722583
199	0.1751992433
200	0.1748846163
201	0.1746761355
202	0.1744416942
203	0.1742159282
204	0.1739433732
205	0.1737467212
206	0.1734748009
207	0.1732359395
208	0.17307371
209	0.172823558
210	0.172441459
211	0.1722039734
