iter	Passed	Remaining
0	16	41310
1	33	41974
2	46	38740
3	63	39796
4	80	40384
5	94	39382
6	111	39791
7	125	39112
8	141	39192
9	153	38272
10	170	38583
11	186	38716
12	200	38277
13	216	38371
14	228	37887
15	244	38010
16	258	37752
17	275	38006
18	290	37939
19	303	37649
20	321	37951
21	335	37733
22	348	37583
23	366	37768
24	379	37530
25	394	37521
26	407	37320
27	424	37467
28	437	37310
29	453	37372
30	466	37191
31	481	37135
32	495	37008
33	509	36931
34	524	36959
35	538	36861
36	553	36858
37	573	37146
38	592	37375
39	610	37537
40	627	37606
41	641	37566
42	654	37425
43	671	37500
44	685	37392
45	701	37438
46	719	37539
47	734	37540
48	747	37379
49	763	37406
50	780	37502
51	796	37491
52	810	37407
53	825	37398
54	839	37314
55	854	37291
56	869	37264
57	885	37284
58	905	37454
59	932	37910
60	952	38071
61	969	38114
62	983	38062
63	997	37963
64	1013	37953
65	1027	37881
66	1042	37844
67	1054	37717
68	1070	37722
69	1087	37740
70	1104	37783
71	1121	37816
72	1139	37897
73	1155	37876
74	1170	37850
75	1183	37739
76	1196	37640
77	1209	37567
78	1225	37566
79	1239	37496
80	1256	37538
81	1274	37583
82	1287	37506
83	1307	37610
84	1327	37727
85	1344	37732
86	1357	37637
87	1369	37543
88	1387	37577
89	1403	37594
90	1420	37614
91	1437	37634
92	1454	37638
93	1470	37631
94	1483	37563
95	1497	37501
96	1510	37431
97	1527	37451
98	1546	37495
99	1562	37508
100	1579	37513
101	1595	37517
102	1612	37514
103	1628	37510
104	1644	37514
105	1658	37453
106	1673	37433
107	1693	37498
108	1709	37508
109	1726	37505
110	1741	37479
111	1753	37388
112	1765	37300
113	1782	37299
114	1797	37275
115	1813	37280
116	1832	37322
117	1845	37245
118	1859	37210
119	1877	37229
120	1893	37225
121	1910	37237
122	1923	37173
123	1941	37209
124	1959	37234
125	1975	37229
126	1992	37222
127	2005	37172
128	2019	37120
129	2036	37120
130	2052	37119
131	2069	37127
132	2083	37074
133	2101	37112
134	2117	37092
135	2134	37109
136	2150	37095
137	2167	37091
138	2181	37047
139	2196	37020
140	2213	37025
141	2227	36982
142	2241	36948
143	2259	36975
144	2275	36950
145	2291	36946
146	2308	36948
147	2325	36949
148	2341	36950
149	2355	36909
150	2369	36854
151	2386	36859
152	2403	36875
153	2420	36876
154	2435	36841
155	2449	36806
156	2461	36740
157	2479	36755
158	2492	36701
159	2508	36689
160	2521	36629
161	2539	36644
162	2555	36642
163	2571	36622
164	2588	36633
165	2606	36643
166	2622	36640
167	2640	36653
168	2659	36682
169	2675	36667
170	2689	36627
171	2706	36631
172	2725	36657
173	2741	36649
174	2759	36661
175	2774	36642
176	2794	36670
177	2808	36633
178	2824	36623
179	2840	36615
180	2857	36606
181	2873	36592
182	2888	36570
183	2902	36533
184	2920	36540
185	2935	36517
186	2950	36498
187	2966	36482
188	2983	36481
189	3001	36492
190	3016	36471
191	3032	36455
192	3050	36464
193	3068	36475
194	3083	36454
195	3096	36397
196	3109	36349
197	3124	36332
198	3141	36321
199	3156	36297
200	3171	36269
201	3184	36231
202	3199	36201
203	3217	36214
204	3234	36205
205	3246	36148
206	3262	36138
207	3277	36114
208	3293	36100
209	3306	36058
210	3324	36067
211	3343	36084
212	3359	36075
213	3377	36083
214	3392	36056
215	3405	36011
216	3422	36008
217	3441	36021
218	3460	36045
219	3476	36032
220	3494	36030
221	3510	36023
222	3528	36028
223	3547	36048
224	3562	36023
225	3578	36003
226	3592	35975
227	3610	35977
228	3627	35973
229	3643	35961
230	3658	35937
231	3675	35934
232	3689	35894
233	3704	35876
234	3719	35851
235	3737	35853
236	3752	35830
237	3767	35811
238	3784	35804
239	3799	35780
240	3816	35773
241	3831	35748
242	3848	35744
243	3863	35720
244	3875	35670
245	3889	35635
246	3906	35629
247	3922	35615
248	3939	35611
249	3955	35596
250	3968	35559
251	3987	35568
252	4002	35543
253	4015	35503
254	4029	35476
255	4046	35466
256	4062	35453
257	4077	35437
258	4095	35439
259	4110	35412
260	4127	35403
261	4140	35366
262	4155	35345
263	4170	35325
264	4187	35318
265	4200	35281
266	4216	35261
267	4229	35228
268	4245	35211
269	4263	35210
270	4279	35200
271	4299	35217
272	4317	35222
273	4336	35227
274	4353	35224
275	4371	35228
276	4389	35230
277	4403	35194
278	4417	35168
279	4433	35148
280	4449	35135
281	4467	35135
282	4480	35103
283	4496	35082
284	4510	35054
285	4526	35041
286	4539	35001
287	4554	34980
288	4568	34953
289	4585	34947
290	4603	34943
291	4617	34915
292	4632	34892
293	4650	34896
294	4665	34869
295	4684	34879
296	4698	34854
297	4711	34812
298	4727	34800
299	4743	34784
300	4757	34759
301	4773	34745
302	4788	34718
303	4805	34715
304	4823	34712
305	4838	34690
306	4854	34674
307	4871	34668
308	4884	34636
309	4902	34635
310	4920	34632
311	4937	34622
312	4955	34625
313	4971	34613
314	4985	34584
315	5000	34562
316	5015	34540
317	5029	34507
318	5038	34447
319	5051	34414
320	5067	34398
321	5083	34387
322	5100	34375
323	5117	34370
324	5133	34353
325	5150	34345
326	5167	34338
327	5185	34335
328	5202	34332
329	5219	34321
330	5235	34305
331	5251	34292
332	5265	34266
333	5283	34261
334	5296	34227
335	5304	34161
336	5318	34137
337	5334	34122
338	5347	34089
339	5359	34051
340	5376	34039
341	5389	34010
342	5406	33996
343	5420	33972
344	5433	33938
345	5449	33926
346	5464	33906
347	5482	33901
348	5492	33850
349	5509	33846
350	5523	33820
351	5539	33804
352	5555	33788
353	5568	33759
354	5586	33755
355	5603	33745
356	5616	33714
357	5633	33707
358	5648	33686
359	5665	33680
360	5684	33683
361	5701	33673
362	5718	33663
363	5731	33633
364	5747	33616
365	5764	33610
366	5780	33594
367	5794	33572
368	5801	33502
369	5815	33479
370	5832	33472
371	5848	33457
372	5865	33446
373	5877	33409
374	5892	33388
375	5911	33391
376	5927	33377
377	5944	33368
378	5961	33363
379	5979	33356
380	5995	33347
381	6011	33330
382	6027	33317
383	6042	33298
384	6060	33292
385	6075	33272
386	6091	33258
387	6108	33248
388	6124	33235
389	6137	33207
390	6151	33182
391	6168	33171
392	6181	33138
393	6197	33124
394	6212	33105
395	6224	33071
396	6241	33064
397	6257	33048
398	6274	33040
399	6289	33018
400	6306	33008
401	6323	33001
402	6338	32980
403	6352	32956
404	6368	32943
405	6384	32930
406	6400	32912
407	6418	32910
408	6432	32884
409	6448	32871
410	6461	32842
411	6479	32835
412	6494	32817
413	6508	32792
414	6523	32774
415	6539	32761
416	6556	32751
417	6568	32717
418	6584	32702
419	6601	32694
420	6615	32671
421	6631	32655
422	6647	32638
423	6662	32622
424	6675	32591
425	6692	32582
426	6707	32564
427	6725	32557
428	6742	32548
429	6759	32538
430	6776	32529
431	6792	32514
432	6805	32489
433	6821	32472
434	6836	32454
435	6851	32435
436	6864	32408
437	6881	32397
438	6895	32373
439	6909	32349
440	6923	32323
441	6936	32297
442	6953	32287
443	6968	32268
444	6982	32244
445	6999	32234
446	7016	32225
447	7032	32211
448	7050	32204
449	7066	32190
450	7081	32173
451	7095	32148
452	7110	32131
453	7126	32115
454	7140	32092
455	7154	32070
456	7169	32052
457	7186	32041
458	7203	32031
459	7216	32001
460	7231	31983
461	7247	31970
462	7260	31941
463	7275	31922
464	7287	31893
465	7304	31882
466	7317	31856
467	7334	31844
468	7347	31816
469	7363	31804
470	7378	31783
471	7395	31774
472	7408	31747
473	7426	31742
474	7442	31730
475	7456	31706
476	7474	31699
477	7492	31693
478	7506	31670
479	7522	31656
480	7539	31645
481	7551	31614
482	7569	31609
483	7585	31595
484	7603	31587
485	7619	31577
486	7633	31553
487	7650	31542
488	7666	31528
489	7681	31509
490	7698	31498
491	7714	31483
492	7727	31459
493	7745	31451
494	7758	31426
495	7775	31414
496	7789	31391
497	7804	31374
498	7817	31347
499	7833	31332
500	7850	31323
501	7864	31303
502	7881	31292
503	7898	31281
504	7916	31273
505	7932	31259
506	7945	31233
507	7962	31224
508	7978	31208
509	7996	31203
510	8012	31189
511	8028	31171
512	8042	31150
513	8056	31129
514	8072	31114
515	8088	31101
516	8102	31077
517	8115	31053
518	8135	31052
519	8152	31043
520	8164	31012
521	8176	30984
522	8189	30957
523	8206	30946
524	8221	30928
525	8234	30901
526	8251	30893
527	8267	30877
528	8282	30859
529	8299	30850
530	8317	30843
531	8332	30823
532	8347	30806
533	8359	30778
534	8377	30769
535	8393	30755
536	8411	30747
537	8424	30722
538	8437	30697
539	8449	30668
540	8463	30647
541	8476	30622
542	8493	30610
543	8504	30579
544	8520	30565
545	8535	30545
546	8547	30517
547	8561	30496
548	8575	30474
549	8592	30463
550	8608	30451
551	8625	30439
552	8640	30422
553	8659	30418
554	8677	30410
555	8691	30388
556	8704	30364
557	8720	30351
558	8735	30331
559	8753	30323
560	8767	30302
561	8784	30294
562	8798	30271
563	8816	30264
564	8834	30255
565	8849	30238
566	8863	30217
567	8879	30202
568	8895	30188
569	8909	30166
570	8928	30162
571	8943	30145
572	8962	30140
573	8976	30118
574	8995	30116
575	9012	30102
576	9025	30080
577	9041	30066
578	9058	30055
579	9073	30037
580	9087	30015
581	9105	30006
582	9119	29986
583	9133	29966
584	9151	29957
585	9169	29948
586	9186	29938
587	9203	29927
588	9216	29903
589	9229	29879
590	9242	29855
591	9257	29837
592	9275	29829
593	9294	29824
594	9308	29802
595	9325	29791
596	9341	29777
597	9356	29759
598	9372	29744
599	9390	29736
600	9406	29721
601	9419	29699
602	9437	29688
603	9455	29682
604	9468	29657
605	9481	29632
606	9500	29628
607	9516	29612
608	9530	29594
609	9547	29582
610	9565	29571
611	9578	29548
612	9592	29528
613	9610	29521
614	9627	29509
615	9646	29502
616	9664	29495
617	9679	29476
618	9697	29469
619	9710	29445
620	9727	29432
621	9742	29414
622	9759	29402
623	9775	29388
624	9794	29383
625	9807	29361
626	9827	29356
627	9843	29342
628	9860	29331
629	9875	29312
630	9891	29297
631	9905	29278
632	9919	29257
633	9938	29250
634	9955	29238
635	9983	29258
636	9999	29245
637	10018	29239
638	10035	29227
639	10052	29214
640	10069	29204
641	10085	29188
642	10104	29182
643	10122	29172
644	10140	29164
645	10156	29150
646	10172	29133
647	10189	29120
648	10207	29112
649	10221	29091
650	10234	29067
651	10251	29057
652	10267	29042
653	10282	29022
654	10297	29004
655	10314	28994
656	10329	28974
657	10344	28959
658	10359	28939
659	10374	28921
660	10386	28896
